s,T,q_true,q_noisy
-4.689922480620155056e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.630000000000000226e-01
-4.922480620155038764e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.799999999999999822e-01
-5.155038759689922472e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.979999999999999982e-01
-5.426356589147286513e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.160000000000000142e-01
-5.581395348837208985e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.260000000000000231e-01
-5.813953488372093261e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.410000000000000364e-01
-5.930232558139534831e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.530000000000000471e-01
-6.240310077519379774e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.709999999999999520e-01
-6.666666666666666288e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.929999999999999716e-01
-7.093023255813952801e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.169999999999999929e-01
-7.286821705426356175e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.340000000000000080e-01
-7.596899224806201119e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.470000000000000195e-01
-7.868217054263565160e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.630000000000000338e-01
-8.217054263565891006e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.840000000000000524e-01
-8.527131782945735949e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.979999999999999538e-01
-8.837209302325580893e+02,1.000000000000000000e+00,1.000000000000000000e+00,7.159999999999999698e-01
-9.147286821705425837e+02,1.000000000000000000e+00,1.000000000000000000e+00,7.279999999999999805e-01
-9.689922480620155056e+02,1.000000000000000000e+00,1.000000000000000000e+00,7.590000000000000080e-01
-9.922480620155038196e+02,1.000000000000000000e+00,1.000000000000000000e+00,7.690000000000000169e-01
-1.046511627906976628e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000444e-01
-1.085271317829457303e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.169999999999999485e-01
-1.147286821705426291e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.519999999999999796e-01
-1.174418604651162696e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.649999999999999911e-01
-1.224806201550387641e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.900000000000000133e-01
-1.302325581395348763e+03,1.000000000000000000e+00,1.000000000000000000e+00,9.220000000000000417e-01
-1.387596899224806066e+03,1.000000000000000000e+00,1.000000000000000000e+00,9.539999999999999591e-01
-1.476744186046511686e+03,1.000000000000000000e+00,1.000000000000000000e+00,9.949999999999999956e-01
-1.515503875968992133e+03,1.000000000000000000e+00,1.000000000000000000e+00,1.010999999999999899e+00
-3.289473684210526727e+01,1.000000000000000000e+00,1.000000000000000000e+00,7.499999999999999722e-02
-3.947368421052631504e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.699999999999999400e-02
-4.934210526315789735e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.800000000000000377e-02
-5.592105263157895223e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.079999999999999988e-01
-6.250000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.150000000000000050e-01
-6.907894736842105488e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.229999999999999982e-01
-7.565789473684210975e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.310000000000000053e-01
-8.223684210526316463e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.390000000000000124e-01
-8.881578947368421950e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.469999999999999918e-01
-9.539473684210526017e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.549999999999999989e-01
-1.052631578947368496e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.640000000000000069e-01
-1.151315789473684248e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.749999999999999889e-01
-1.250000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.839999999999999969e-01
-1.282894736842105203e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.890000000000000013e-01
-1.348684210526315894e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.990000000000000102e-01
-1.447368421052631504e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.079999999999999905e-01
-1.546052631578947398e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.169999999999999984e-01
-1.677631578947368496e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.270000000000000073e-01
-1.776315789473684390e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.359999999999999876e-01
-1.907894736842105203e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.489999999999999991e-01
-2.039473684210526301e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.590000000000000080e-01
-2.138157894736842195e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.660000000000000142e-01
-2.269736842105263293e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.810000000000000275e-01
-2.500000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.979999999999999871e-01
-2.730263157894736992e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.180000000000000049e-01
-2.993421052631579187e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.370000000000000218e-01
-3.256578947368421382e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.529999999999999805e-01
-3.388157894736842195e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.649999999999999911e-01
-3.717105263157894797e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.880000000000000115e-01
-3.980263157894736992e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.040000000000000258e-01
-4.177631578947368780e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.169999999999999818e-01
-4.375000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.279999999999999916e-01
-4.473684210526316178e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.349999999999999978e-01
-4.671052631578947398e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.510000000000000120e-01
-4.934210526315789593e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.680000000000000271e-01
-5.230263157894736423e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.849999999999999867e-01
-5.394736842105263577e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.030000000000000027e-01
-5.657894736842105203e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.190000000000000169e-01
-6.052631578947368780e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.420000000000000373e-01
-6.282894736842105203e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.560000000000000497e-01
-6.611842105263158373e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.739999999999999547e-01
-6.940789473684210407e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.929999999999999716e-01
-7.171052631578947967e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.039999999999999813e-01
-7.500000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.250000000000000000e-01
-7.730263157894737560e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.390000000000000124e-01
-8.223684210526315610e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.650000000000000355e-01
-8.519736842105263577e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.790000000000000480e-01
-8.618421052631579187e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.879999999999999449e-01
-8.881578947368420813e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.959999999999999520e-01
-9.309210526315789593e+02,1.000000000000000000e+00,1.000000000000000000e+00,7.179999999999999716e-01
-9.901315789473684390e+02,1.000000000000000000e+00,1.000000000000000000e+00,7.409999999999999920e-01
-1.019736842105263236e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.580000000000000071e-01
-1.049342105263157919e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.760000000000000231e-01
-1.141447368421052715e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.100000000000000533e-01
-1.177631578947368553e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.339999999999999636e-01
-1.210526315789473756e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.509999999999999787e-01
-1.286184210526315837e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.800000000000000044e-01
-1.309210526315789593e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.980000000000000204e-01
-4.469273743016759681e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.999999999999999667e-02
-5.307262569832402477e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.900000000000000466e-02
-5.586592178770949602e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.049999999999999961e-01
-6.424581005586593108e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.120000000000000023e-01
-7.262569832402235193e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.239999999999999991e-01
-7.821229050279329442e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.310000000000000053e-01
-8.938547486033519363e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.409999999999999865e-01
-9.217877094972067198e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.469999999999999918e-01
-1.005586592178770928e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.539999999999999980e-01
-1.089385474860335279e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.630000000000000060e-01
-1.173184357541899487e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.729999999999999871e-01
-1.229050279329609054e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.799999999999999933e-01
-1.368715083798882688e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.930000000000000049e-01
-1.396648044692737471e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.970000000000000084e-01
-1.508379888268156606e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.059999999999999887e-01
-1.620111731843575456e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.179999999999999993e-01
-1.675977653631285023e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.240000000000000047e-01
-1.787709497206703873e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.340000000000000135e-01
-1.871508379888268223e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.409999999999999920e-01
-2.011173184357541857e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.510000000000000009e-01
-2.094972067039106207e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.590000000000000080e-01
-2.178770949720670558e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.670000000000000151e-01
-2.318435754189944191e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.770000000000000240e-01
-2.430167597765363325e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.869999999999999774e-01
-2.541899441340782175e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.959999999999999853e-01
-2.653631284916201025e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.039999999999999925e-01
-2.765363128491620159e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.130000000000000004e-01
-2.849162011173184510e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.180000000000000049e-01
-2.932960893854748861e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.260000000000000120e-01
-3.100558659217876993e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.360000000000000209e-01
-3.268156424581005695e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.469999999999999751e-01
-3.435754189944134396e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.599999999999999867e-01
-3.687150837988826879e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.780000000000000027e-01
-3.938547486033519931e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.940000000000000169e-01
-4.162011173184357631e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.079999999999999738e-01
-4.441340782122905466e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.229999999999999871e-01
-4.525139664804469248e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.279999999999999916e-01
-4.692737430167597950e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.420000000000000040e-01
-5.000000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.650000000000000244e-01
-5.167597765363128701e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.769999999999999796e-01
-5.335195530726257402e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.899999999999999911e-01
-5.614525139664805238e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.030000000000000027e-01
-5.754189944134078587e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.140000000000000124e-01
-5.921787709497207288e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.260000000000000231e-01
-6.201117318435753987e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.450000000000000400e-01
-6.675977653631284738e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.689999999999999503e-01
-6.927374301675978359e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.799999999999999600e-01
-7.206703910614525057e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.949999999999999734e-01
-7.513966480446928244e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.169999999999999929e-01
-7.821229050279330295e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.310000000000000053e-01
-8.100558659217876993e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.480000000000000204e-01
-8.435754189944134396e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.650000000000000355e-01
-8.910614525139665147e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.870000000000000551e-01
-9.162011173184357631e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.989999999999999547e-01
-1.002793296089385535e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.339999999999999858e-01
-1.033519553072625740e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.530000000000000027e-01
-1.092178770949720729e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.720000000000000195e-01
-1.114525139664804556e+03,1.000000000000000000e+00,1.000000000000000000e+00,7.830000000000000293e-01
-3.883495145631068368e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.400000000000000522e-02
-4.368932038834951470e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.199999999999999845e-02
-5.097087378640777189e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01
-5.582524271844660291e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.059999999999999970e-01
-6.067961165048544103e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.150000000000000050e-01
-7.038834951456311728e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.239999999999999991e-01
-7.524271844660194120e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.320000000000000062e-01
-8.252427184466020549e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.400000000000000133e-01
-8.980582524271845557e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.489999999999999936e-01
-9.708737864077670565e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.590000000000000024e-01
-1.067961165048543819e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.670000000000000095e-01
-1.140776699029126320e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.739999999999999880e-01
-1.213592233009708821e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.829999999999999960e-01
-1.262135922330097202e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.890000000000000013e-01
-1.310679611650485583e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.960000000000000075e-01
-1.456310679611650585e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.089999999999999913e-01
-1.504854368932038824e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.139999999999999958e-01
-1.601941747572815586e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.250000000000000056e-01
-1.747572815533980588e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.359999999999999876e-01
-1.820388349514563231e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.399999999999999911e-01
-1.966019417475728233e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.540000000000000036e-01
-2.038834951456310876e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.610000000000000098e-01
-2.111650485436893234e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.700000000000000178e-01
-2.160194174757281758e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.730000000000000204e-01
-2.305825242718446759e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.859999999999999765e-01
-2.402912621359223522e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.929999999999999827e-01
-2.524271844660194404e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.029999999999999916e-01
-2.572815533980582927e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.069999999999999951e-01
-2.694174757281553525e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.160000000000000031e-01
-2.791262135922330003e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.250000000000000111e-01
-2.985436893203883528e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.370000000000000218e-01
-3.082524271844660575e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.459999999999999742e-01
-3.325242718446602339e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.629999999999999893e-01
-3.543689320388349984e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.770000000000000018e-01
-3.810679611650485867e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.950000000000000178e-01
-4.053398058252427631e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.119999999999999774e-01
-4.368932038834951754e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.309999999999999942e-01
-4.587378640776699399e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.440000000000000058e-01
-4.708737864077669997e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.590000000000000191e-01
-5.000000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.779999999999999805e-01
-5.242718446601942333e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.959999999999999964e-01
-5.582524271844660007e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.140000000000000124e-01
-5.776699029126214100e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.290000000000000258e-01
-5.970873786407767057e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.440000000000000391e-01
-6.334951456310679987e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.610000000000000542e-01
-6.601941747572816439e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.779999999999999583e-01
-6.868932038834951754e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.939999999999999725e-01
-7.233009708737864685e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.139999999999999902e-01
-7.548543689320388239e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.300000000000000044e-01
-7.839805825242718811e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.470000000000000195e-01
-8.203883495145631741e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.640000000000000346e-01
-8.543689320388350552e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.810000000000000497e-01
-8.907766990291262346e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.979999999999999538e-01
-9.296116504854369396e+02,1.000000000000000000e+00,1.000000000000000000e+00,7.159999999999999698e-01
-9.635922330097088206e+02,1.000000000000000000e+00,1.000000000000000000e+00,7.309999999999999831e-01
-3.711790393013099987e+01,1.000000000000000000e+00,1.000000000000000000e+00,7.799999999999999989e-02
-4.366812227074235864e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.699999999999999400e-02
-5.021834061135371030e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.500000000000000111e-02
-5.458515283842794474e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.019999999999999934e-01
-6.113537117903929641e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.110000000000000014e-01
-6.986899563318776529e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.209999999999999964e-01
-7.641921397379911696e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.290000000000000036e-01
-8.296943231441048283e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.370000000000000107e-01
-8.733624454148471727e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.449999999999999900e-01
-9.606986899563318616e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.539999999999999980e-01
-1.048034934497816550e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.610000000000000042e-01
-1.113537117903930067e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.700000000000000122e-01
-1.200873362445414756e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.789999999999999925e-01
-1.288209606986899587e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.880000000000000004e-01
-1.353711790393012961e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.970000000000000084e-01
-1.462882096069868965e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.089999999999999913e-01
-1.506550218340611309e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.129999999999999949e-01
-1.637554585152838342e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.230000000000000038e-01
-1.724890829694323031e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.310000000000000109e-01
-1.812227074235807720e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.389999999999999902e-01
-1.921397379912663723e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.479999999999999982e-01
-2.030567685589519442e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.570000000000000062e-01
-2.117903930131004415e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.660000000000000142e-01
-2.205240174672489104e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.720000000000000195e-01
-2.292576419213973793e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.810000000000000275e-01
-2.401746724890829512e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.899999999999999800e-01
-2.510917030567685515e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.979999999999999871e-01
-2.641921397379912833e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.089999999999999969e-01
-2.729257641921397521e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.140000000000000013e-01
-2.860262008733624270e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.240000000000000102e-01
-3.078602620087336277e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.400000000000000244e-01
-3.340611353711790343e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.569999999999999840e-01
-3.602620087336244410e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.760000000000000009e-01
-3.864628820960698476e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.940000000000000169e-01
-4.126637554585152543e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.099999999999999756e-01
-4.388646288209606610e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.239999999999999880e-01
-4.606986899563318616e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.410000000000000031e-01
-4.803493449781659024e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.580000000000000182e-01
-5.065502183406113090e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.749999999999999778e-01
-5.414847161572051846e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.989999999999999991e-01
-5.676855895196506481e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.130000000000000115e-01
-5.895196506550217919e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.270000000000000240e-01
-6.179039301310043584e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.470000000000000417e-01
-6.550218340611353369e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.629999999999999449e-01
-6.834061135371179034e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.809999999999999609e-01
-7.117903930131003563e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.949999999999999734e-01
-7.489082969432314485e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.119999999999999885e-01
-7.663755458515283863e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.290000000000000036e-01
-8.078602620087335708e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.470000000000000195e-01
-8.558951965065501781e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.710000000000000409e-01
-8.711790393013100129e+02,1.000000000000000000e+00,1.000000000000000000e+00,6.790000000000000480e-01
-2.988047808764940072e+01,1.000000000000000000e+00,1.000000000000000000e+00,6.500000000000000222e-02
-3.386454183266932461e+01,1.000000000000000000e+00,1.000000000000000000e+00,7.199999999999999456e-02
-3.984063745019920333e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000167e-02
-4.780876494023904399e+01,1.000000000000000000e+00,1.000000000000000000e+00,8.899999999999999578e-02
-5.378486055776892272e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.700000000000000289e-02
-5.976095617529880144e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.049999999999999961e-01
-6.772908366533864921e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.150000000000000050e-01
-7.171314741035855889e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.209999999999999964e-01
-7.569721115537848277e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.280000000000000027e-01
