s,T,x,k_0,alpha,beta,sigma,q_true,q_noisy,a_true,b_true
2.942139415050060158e-01,2.850421181835387507e-01,8.138391901584512977e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.105697868807669404e-01,-2.160116891379210424e-01,-7.243591377857848679e-01,-2.348174222400011002e-02
-3.470641804249590123e-01,2.859941683876171759e+00,2.879200069522405148e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,6.424574380990749622e-01,6.098657008124248602e-01,-1.863165332724253442e+00,2.779233286417450155e-01
-3.094377543019186660e-01,1.288028673524735268e+00,1.565453737713523585e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,2.899586746282024063e-01,2.527799752919309695e-01,-9.466252595031765527e-01,1.115981160593525062e-01
1.243161481965655568e+00,1.406347870035925762e+00,5.635230015579866247e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-1.310499225586115202e+00,-1.297407376563619152e+00,-1.208711576954098588e+00,-4.895289006364692552e-01
-2.093696630919198221e+00,1.792543191365665090e+00,2.954241164804327635e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,2.866328959752038497e+00,2.838531622742308524e+00,-1.807384390355956549e+00,1.050851659351043299e+00
2.001554814609841415e+00,2.457408580362071771e+00,1.070018854723803203e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.494216427467259578e+00,-3.418215932737175944e+00,-2.146373221700374145e+00,-1.377218633136427117e+00
1.258353318491427508e+00,2.814762732116595778e+00,6.204873872388261269e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.376245649545773109e+00,-2.378563234292070394e+00,-2.046722454459505958e+00,-9.917504869229761821e-01
-1.788937329079853367e+00,1.207947810013430434e+00,3.930825424011004099e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,1.903955526916739194e+00,2.008984275417047716e+00,-1.384323822746577948e+00,6.050640200957195791e-01
-9.070978602831392124e-01,1.264551123346297601e+00,1.045660996670955134e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,8.753620098213142908e-01,8.788783271511105832e-01,-1.047296515317431176e+00,3.211800530976986479e-01
2.048190773630849115e+00,2.507661954629369916e+00,3.081835294054594554e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.666519268608552373e+00,-3.536814405646773629e+00,-2.209634403795363244e+00,-1.438127622079953261e+00
-4.562516301383676698e-01,2.212776026611550595e+00,4.173914184306304342e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,6.368821805161074545e-01,6.439269931856397289e-01,-1.416717716653139947e+00,2.826831473963335450e-01
2.085598780326678003e+00,2.043593466915818890e+00,1.461875796055346344e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.132912469380343623e+00,-3.127456529438833677e+00,-1.937136736997961517e+00,-1.193392491783295650e+00
-6.086795890208103188e-01,2.411742867793073675e+00,6.949316593461694058e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,9.330054110423967595e-01,9.439050621598279456e-01,-1.569884138762687398e+00,4.110340241258043648e-01
2.958600284646605516e+00,2.792791471467714448e+00,4.923130919015428208e-02,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-6.596559013579125441e+00,-6.696057246194510704e+00,-3.104953135081038429e+00,-2.313571019884037572e+00
-6.552154751827696799e-01,1.565937887285672181e-01,4.216488395689217406e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,4.749646443731914136e-01,4.621092772132856519e-01,-7.678291238914186634e-01,2.872874863388834993e-02
2.902082997439006995e+00,1.708274693687391599e+00,3.141240992002735100e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-4.439178878698318620e+00,-4.291491652701254544e+00,-2.371861198676670668e+00,-1.388115384181541678e+00
-6.929706107739823651e-01,7.920311430705910816e-01,9.161892912620862583e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,5.625772967153713777e-01,5.588707725521768754e-01,-8.598551065325888976e-01,1.536792053903799915e-01
-4.773086076503032515e-01,2.757442024181459672e+00,1.230208694219175891e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,8.476424701613360924e-01,8.247188851379469998e-01,-1.798661638381632732e+00,3.685222277067761176e-01
-1.955337982876418579e+00,6.464618731546711849e-02,7.666179246722770735e-02,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,1.743677357614531909e+00,1.761842377707813379e+00,-1.274087072226703032e+00,3.539344074170144849e-02
1.717086914518776375e+00,1.199622920934028558e+00,3.259092522070901055e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-1.801039921217219009e+00,-1.830950601504763409e+00,-1.343731442141982368e+00,-5.767599095699316170e-01
-2.528852296122911625e+00,1.409391184182844814e+00,9.582589768457300261e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,3.282066876487711227e+00,3.287949672626021780e+00,-1.937357781748243468e+00,9.979597970317293232e-01
1.690341772863122038e+00,2.399860073270289051e-01,4.783276089144942178e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-1.438355467899785856e+00,-1.405243618116361004e+00,-1.136651356082694075e+00,-1.135843444645034117e-01
-1.071075734690207781e-02,9.951992707305178376e-01,8.736278477532573028e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,8.982734722630345350e-03,3.518559001858491408e-02,-8.386762304331991658e-01,2.984614612170375172e-03
2.166896830085323522e+00,1.146466761226242248e+00,4.240726776566461353e-02,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.424294136962002799e+00,-2.335007435665538811e+00,-1.588330325678596111e+00,-6.955970533958127922e-01
7.253198443053934241e-01,3.061307631092462511e-01,7.888946903395946952e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-5.363194010294238812e-01,-5.124795115215851071e-01,-7.920335776585389898e-01,-6.217196088193713277e-02
2.682271768479042251e+00,2.305102273231760979e+00,7.123083980924378444e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-4.837795253512201299e+00,-4.772311693016092704e+00,-2.523076784605105871e+00,-1.731215010264996357e+00
8.890010415894300522e-02,1.057659369564113216e+00,9.763524030404749920e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-7.618785415039289188e-02,-6.480433769001862909e-02,-8.577955521616665857e-01,-2.632728787330086348e-02
-1.642310551547956354e+00,1.387363062635312172e+00,1.847905527545025128e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,1.813649321227073008e+00,1.825272638127062530e+00,-1.374046269617939631e+00,6.379746790462811346e-01
2.542475648332536586e+00,2.409714853382022959e+00,1.123986240811050141e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-4.668368480988788427e+00,-4.669701790517509110e+00,-2.482568957799984766e+00,-1.715459573561720408e+00
2.363984182971237580e+00,2.738773154345396144e+00,9.752498090938490627e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-4.797809998806113363e+00,-4.576603741360570687e+00,-2.588386157335552884e+00,-1.812836596933252720e+00
2.041171429927592484e+00,7.756819873671348953e-01,9.344659609151110269e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.025974085409480541e+00,-2.027992192544834982e+00,-1.409192677326513765e+00,-4.433239751705103648e-01
5.983144117366854253e-01,2.259292776700129846e+00,5.142440847269779125e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-8.570946961389456220e-01,-8.229471510893057173e-01,-1.468313559412685709e+00,-3.784948800170385708e-01
-1.421351761544343395e+00,8.917241455764995939e-01,9.011301581691041340e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,1.296750543827313695e+00,1.294453136749948774e+00,-1.114360197759360682e+00,3.548870318354989672e-01
-2.895623247107569131e+00,2.853941959948513407e+00,8.222257614896314459e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,6.542746318466217126e+00,6.706057728226123338e+00,-3.097992957884134313e+00,2.313903391834343015e+00
1.872900333761649883e+00,2.769811882924544832e+00,5.781094107806155069e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.651121593270334476e+00,-3.857093479651531265e+00,-2.300223450381276624e+00,-1.452522847996181588e+00
9.575192685330033981e-01,1.487406190154113794e+00,4.659716483952079935e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-1.010733365411565998e+00,-1.006943359777432212e+00,-1.147259276873025202e+00,-3.987816244181919267e-01
-3.566005304566113310e-01,2.761995955314279216e-01,2.523018120566211664e-02,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,2.556962264540963425e-01,2.438694100321224800e-01,-7.297546610683319779e-01,2.757801823795442975e-02
8.320532745720576884e-02,2.558498067670480047e+00,6.747125476263259314e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-1.345242006957691194e-01,-1.021962182293786048e-01,-1.617466199695890339e+00,-5.960658746536213332e-02
1.730344862427282138e+00,2.052493873085212694e+00,7.470128049323244701e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.490808971341898381e+00,-2.413744160923164461e+00,-1.738896355306600805e+00,-9.944262239678119952e-01
-1.612611951161912360e+00,2.376358656895753096e+00,5.877657707361141348e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,2.613426552934253522e+00,2.582732018160038834e+00,-1.880668861023008676e+00,1.073000423700005035e+00
-2.876219618854817917e+00,1.540740988917966181e+00,7.580785210932656781e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,4.158943262795420814e+00,4.156113152940187128e+00,-2.273239485673270721e+00,1.240822648771895631e+00
-2.433895600755083599e+00,2.886627666560671379e+00,4.808034455877198132e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,5.263929833958289173e+00,5.366588369288735727e+00,-2.755143869255733513e+00,1.967210106024780192e+00
2.931033132552326670e+00,1.068665617452911443e+00,2.358970649926311891e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.779374448840113310e+00,-3.752762453862112935e+00,-2.148529751887567230e+00,-8.770424130647125338e-01
-1.746523443333284131e+00,2.309449995494370356e+00,9.496905498145120639e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,2.793067372768569090e+00,2.801394450660592117e+00,-1.904249920153365583e+00,1.129382396334322136e+00
2.863848522103896954e+00,2.965806502894970942e-01,8.056402917626026561e-02,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.214371637172584339e+00,-3.147940600326599725e+00,-1.942558665131161044e+00,-2.378213759645328718e-01
-2.831428590447020444e+00,2.761141847267112315e+00,2.700041161885061713e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,6.139092130621468080e+00,5.984615503705794204e+00,-2.969894781522270044e+00,2.189033271216904275e+00
1.032529279275420819e+00,1.007641017349018675e+00,2.054460499174739496e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-9.245819512039259447e-01,-8.910662942048432900e-01,-1.002065165662336055e+00,-2.913172789552855302e-01
1.618124013723196697e-01,4.178372120050103389e-01,6.094241306607625086e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-1.174355887532254755e-01,-1.071900117752101755e-01,-7.283697989887383262e-01,-1.893114794402881232e-02
-3.193044848518944434e-02,1.264725018123049827e+00,4.632888499272517224e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,2.950325830718420958e-02,-2.707192660902642614e-02,-9.240870450363585231e-01,1.130730637095033082e-02
-2.998857282083756459e+00,3.927626898020079027e-01,5.720736765456282402e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,3.512423599621175452e+00,3.452669420785043908e+00,-2.070568504016087719e+00,3.297949906841953216e-01
4.054491007208529396e-01,1.725448112879566676e+00,4.671696715778899112e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-4.561397320222008722e-01,-4.563761536788493167e-01,-1.141462312624854425e+00,-1.958827879981036302e-01
6.987554167122547177e-01,1.903366958745806414e+00,6.113184946246066342e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-8.605912000855330257e-01,-8.135953478414238438e-01,-1.280431679008043888e+00,-3.723966322761335657e-01
2.006230044945491287e+00,7.178649300364973174e-01,1.065730502231484467e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-1.952852604854030227e+00,-1.950327660286282017e+00,-1.375890057074981021e+00,-4.032566134385358603e-01
1.983910257013620893e+00,2.715454964067274268e-01,3.704663220959556469e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-1.799641040438995532e+00,-1.851282671339274044e+00,-1.300708160109206313e+00,-1.508421307588053151e-01
1.865236299404169351e+00,2.541257246438644923e+00,5.477170645460701648e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.316527603763489651e+00,-3.220529029116102393e+00,-2.125984342853013409e+00,-1.327212673410749222e+00
-2.645345402321643391e+00,2.039251729110790556e+00,6.077578845157737275e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,4.317439875498785717e+00,4.359011268869894096e+00,-2.331874510693027425e+00,1.510467052018313217e+00
2.261718237899872364e+00,1.859670877853708326e+00,4.375947817282950236e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.256740997011395411e+00,-3.251632925689394327e+00,-1.951478016498541024e+00,-1.177694431461239422e+00
1.411347383181618120e-01,2.882344504685789843e+00,5.177786310411580661e-02,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.630897355131334159e-01,-2.403071699074789680e-01,-1.866095230270952143e+00,-1.139037024752537763e-01
2.215038651379470203e+00,3.253163374935464924e-01,6.999329312485584875e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.126738598835498539e+00,-2.139494932955201545e+00,-1.450775734787377313e+00,-2.017647132125558462e-01
2.450880449181829235e+00,1.582231450983657695e+00,5.012476443316162822e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.310709700048474868e+00,-3.312163955115661640e+00,-1.951506137454718015e+00,-1.085800836203004271e+00
-2.513278476482801782e+00,1.555556630582368705e-01,9.639025635331980313e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,2.561573871987634199e+00,2.617944369510845526e+00,-1.650872964056085301e+00,1.094673159605977220e-01
-5.394335400797780622e-01,2.602387309749791378e+00,3.435227502529752952e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,8.969097745468401772e-01,9.077158813270799209e-01,-1.691787041016996396e+00,3.930681997639655090e-01
3.389591277087244947e-02,2.530024948372507687e+00,6.801820139092294992e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-5.410469393369028712e-02,-3.261040021430837432e-02,-1.596316013449609050e+00,-2.401210138828636237e-02
6.131001530243871400e-01,1.185727872353261603e+00,4.225425114086078793e-02,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-5.613714658781684408e-01,-5.667171209781092234e-01,-9.532168518643340249e-01,-2.035515831958183697e-01
2.629831888201884738e+00,1.769158008850628683e+00,6.859831234078092033e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.902643162502529517e+00,-3.762717626419117778e+00,-2.175591172469768519e+00,-1.302724681144077801e+00
-2.789726515714252120e+00,2.222635284063469552e+00,6.716531299782124709e-02,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,4.967788102983274889e+00,4.836570698677966185e+00,-2.559001169706823120e+00,1.736152484279902986e+00
6.142154251834739398e-01,1.946419358178578030e+00,6.140680879598493513e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-7.673146354943100045e-01,-7.927539269274439526e-01,-1.286985852784920503e+00,-3.347458222273198558e-01
-5.009884594021762894e-02,2.090211307447174427e+00,6.349253777566945534e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,6.571882234399432920e-02,7.798123146019451946e-02,-1.312034147523884808e+00,2.932080879680311683e-02
-2.194452315648272034e+00,7.950509091043381771e-01,7.131114111033065583e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,2.258696840528076066e+00,2.249691641023220168e+00,-1.510837977577578428e+00,4.885163663918379862e-01
1.107996991949788068e+00,2.176015315589858279e+00,5.007645923156168744e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-1.578107748419758760e+00,-1.568202496700912052e+00,-1.547054571640895215e+00,-6.750851587508648333e-01
1.368475367861856640e+00,2.235520329012005813e+00,4.845388915763507720e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.043535236836469426e+00,-2.037344040964450986e+00,-1.680565884666328946e+00,-8.565912612900616896e-01
-2.311980854736511048e+00,1.459366401196715568e+00,1.186320498861668238e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,2.925644880510922086e+00,2.923266440684498590e+00,-1.799953361912084659e+00,9.447276102915078688e-01
-2.374012874639965798e+00,1.627396860921670463e+00,2.521645099889000541e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,3.211032202783472567e+00,3.150073834200350031e+00,-1.916169445354725998e+00,1.081769107993479029e+00
-7.263084559375121430e-02,1.221428455965857474e+00,8.063416840842179134e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,6.603073598944557421e-02,7.450908505490082268e-02,-9.096555321857888732e-01,2.483974684493963844e-02
2.740257494328193211e+00,1.831956401870462159e+00,9.563264501958276265e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-4.234518680900288601e+00,-4.113276761871313525e+00,-2.296200666452858030e+00,-1.405609032662252567e+00
1.986324754083465649e+00,2.733201822670530134e+00,3.345606418434862173e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-3.859685650041117633e+00,-3.915415791055213646e+00,-2.337677812785642129e+00,-1.520127402717425635e+00
9.864723375632236113e-01,1.056676250759224223e-01,5.381625093700478368e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-7.400708570638839801e-01,-6.997570493917576462e-01,-8.475323414951034806e-01,-2.918669295175185460e-02
-6.221262565858096671e-01,2.303284888924463480e+00,2.841199149158452064e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,9.095915344284077886e-01,9.434581084981269461e-01,-1.500773141006709555e+00,4.012215216232268289e-01
2.707098750253776664e+00,2.187156920775951363e+00,2.821626222930854189e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-4.699877891548673858e+00,-4.767976220676761301e+00,-2.468969301997574028e+00,-1.657837934715613137e+00
-1.546609745665161739e-01,1.300510626605663855e+00,7.929258479813020566e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,1.450691956212148137e-01,1.636803727803499420e-01,-9.403739071460756049e-01,5.631870746458392252e-02
-2.168655803694911288e+00,6.284631677165561925e-01,8.345843395443209856e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,2.147942176628463873e+00,2.106069237868303468e+00,-1.460755432679629262e+00,3.816176829015593963e-01
5.896855101996809623e-01,1.879078422204580878e+00,6.173852599748859138e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-7.145322229559503135e-01,-7.145409301078226028e-01,-1.246490350492198695e+00,-3.102582890688175277e-01
-2.441625718164631031e+00,2.289977954908267055e+00,8.693493768761199059e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,4.229473608633623982e+00,4.147277639105791280e+00,-2.328390286895661632e+00,1.565555339245539690e+00
2.191374855658942522e+00,4.596591236994136409e-01,4.755658698868625578e-03,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.124946174164587642e+00,-2.142428443812547378e+00,-1.449898675102153423e+00,-2.820399248377531420e-01
1.732188641357490511e-02,1.691515053288156434e+00,9.076167229452669627e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-1.906422995814063825e-02,-5.374240517181101684e-02,-1.100616251732399631e+00,-8.204064853574673244e-03
1.424482460757955593e+00,2.233680275269091631e+00,1.031928251816380815e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.136671518253178803e+00,-2.138018424866580336e+00,-1.702878402248724887e+00,-8.909147450173103833e-01
2.105306557224201569e+00,7.997026686011339258e-01,2.220896310551390140e-02,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.128779030856109422e+00,-2.168120555994601073e+00,-1.454380765127171848e+00,-4.714133961699847331e-01
1.732592632659382126e+00,2.476088491824513405e+00,1.157040116371621519e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.960023370972034495e+00,-3.005603322483547668e+00,-2.008623575320246601e+00,-1.201214750049392821e+00
1.748206852250666188e+00,1.636908742462823696e+00,2.529106448403621865e-01,6.999999999999999556e-01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000042e-02,-2.146688213666816392e+00,-2.226100608930658087e+00,-1.533559912099598632e+00,-8.012634224231082181e-01
